<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
20230703,09:04:00,109029,109029,109012,109016,62,0,0
20230703,09:05:00,109009,109027,109007,109020,85,0,0
20230703,09:06:00,109020,109028,109010,109019,59,0,0
20230703,09:07:00,109019,109021,108982,108983,59,0,0
20230703,09:08:00,108982,108983,108961,108966,55,0,0
20230703,09:09:00,108966,108976,108966,108976,39,0,0
20230703,09:10:00,108977,108977,108957,108957,44,0,0
20230703,09:11:00,108957,108970,108941,108959,60,0,0
20230703,09:12:00,108959,108959,108928,108944,69,0,0
20230703,09:13:00,108944,108946,108933,108943,42,0,0
20230703,09:14:00,108943,108952,108938,108943,41,0,0
20230703,09:15:00,108944,108946,108903,108917,76,0,0
20230703,09:16:00,108916,108916,108907,108914,43,0,0
20230703,09:17:00,108914,108914,108888,108897,51,0,0
20230703,09:18:00,108897,108914,108891,108910,70,0,0
20230703,09:19:00,108910,108918,108897,108911,59,0,0
20230703,09:20:00,108911,108916,108895,108906,58,0,0
20230703,09:21:00,108906,108912,108890,108891,47,0,0
20230703,09:22:00,108891,108896,108883,108891,28,0,0
20230703,09:23:00,108891,108902,108890,108897,43,0,0
20230703,09:24:00,108893,108907,108893,108902,29,0,0
20230703,09:25:00,108900,108913,108900,108904,99,0,0
20230703,09:26:00,108905,108905,108888,108893,87,0,0
20230703,09:27:00,108894,108906,108893,108901,62,0,0
20230703,09:28:00,108901,108928,108901,108925,85,0,0
20230703,09:29:00,108926,108932,108911,108928,83,0,0
20230703,09:30:00,108925,108928,108908,108912,54,0,0
20230703,09:31:00,108911,108920,108904,108904,35,0,0
20230703,09:32:00,108904,108904,108893,108897,17,0,0
20230703,09:33:00,108898,108904,108888,108888,29,0,0
20230703,09:34:00,108888,108892,108884,108888,22,0,0
20230703,09:35:00,108889,108908,108889,108903,34,0,0
20230703,09:36:00,108903,108916,108896,108898,46,0,0
20230703,09:37:00,108898,108902,108884,108886,38,0,0
20230703,09:38:00,108889,108896,108880,108894,79,0,0
20230703,09:39:00,108893,108900,108884,108888,52,0,0
20230703,09:40:00,108888,108898,108885,108893,29,0,0
